experiment_id,middle_width_1,middle_width_2,middle_width_3,grid,learning_rate,mse
22,9,7,6,7,0.00026977573921342174,NaN
23,8,8,6,9,5.5394478932551216e-05,NaN
24,8,10,6,5,0.00015656394751809724,NaN
21,10,10,10,9,0.0004359032881402371,NaN
22,6,6,6,8,0.0001757280824252829,NaN
23,10,6,10,8,0.0003998032398785268,NaN
24,6,10,6,5,0.00020767932572613717,NaN
25,5,5,5,10,0.00011054088928629587,NaN
26,9,9,9,7,0.00037270215999972135,NaN
12,7,10,9,6,0.0003354604264537895,NaN
13,6,8,7,6,0.00035036974403985426,NaN
14,5,9,10,6,0.0002000249806355152,NaN
15,6,6,10,8,0.00022658964453877892,NaN
12,5,9,5,8,0.0004115197553039208,NaN
13,8,7,6,9,0.0003524242794617739,NaN
12,5,5,7,8,0.00021432696138589736,NaN
13,7,10,10,8,0.0003925683865157253,NaN
12,9,5,5,9,0.0001729936094476225,NaN
12,9,9,10,7,0.00018260882288114125,NaN
12,9,5,9,7,0.0002585803469257567,NaN
12,5,5,8,5,0.00019357505082083292,NaN
12,9,8,6,9,0.00010289676175695539,NaN
13,7,9,5,9,0.00010048175058541995,NaN
14,8,6,9,6,0.0003736031774741237,NaN
15,7,5,5,6,0.00018851471406815625,NaN
16,6,7,6,7,0.00021624772073108097,NaN
