experiment_id,mse_a11,mse_a12,mse_a22,mse_a33,mean_mse
1,14.44308987463456,0.04589140141735211,4.931336747828904,2.7486417038539264,5.542239931933686
2,6.5084851697254305,0.1003130939806505,2.714378652671013,0.9543805014687563,2.5693893544614625
3,2.1254838858798784,0.11782166701334058,0.6010959621117673,0.7130114974436509,0.8893532531121594
4,7.181259471941075,0.12567307523456148,2.6002164098471328,1.3867862099332573,2.8234837917390068
5,11.726130786026086,0.09743731007879919,5.092874196303462,1.5076714075534488,4.606028424990449
6,3.5680511122116862,0.08607922921169371,1.3836030825295977,0.6933870485067806,1.4327801181149395
7,7.183531653767131,0.14472787281512117,3.468456159506578,0.8553640047105698,2.91301992269985
8,1.8554914425042472,0.15224292912429976,0.2774286827995722,0.9137924051485775,0.7997388648941743
9,26.709388168717858,0.09391705634396764,18.17365066014314,1.5224322839509066,11.624847042288968
10,2.715577443536521,0.08752014185057419,1.1132131073144402,0.5236153865169255,1.1099815198046152
11,6.309621355614974,0.05591309840010154,2.264591316455002,1.1648976005561837,2.448755842756565
12,6.24943310948027,0.031147725984462443,3.2840558969784643,0.6641480823868742,2.5571962037075178
13,9.748507321198804,0.12617927601815979,3.5815483478635546,1.5665574059086855,3.755698087747301
14,11.545755834958088,0.04855827937804357,5.9102729532741005,1.2692649292222256,4.693462999208114
15,8.614524706787533,0.11575581255899443,3.612807203664449,1.3399154063563306,3.420750782341827
16,15.529766981183153,0.09163413625189742,8.512452459886363,1.3359296712244295,6.367445812136461
17,6.239927336998893,0.08246459208914537,2.1965848402848995,1.3580945402126636,2.4692678273964
18,59.10518608040632,0.09511053622752447,37.383775213282384,2.8311705190921392,24.85381058725209
19,5.006425741413459,0.2050156916525852,2.481979630255834,0.678254837817701,2.0929189752848947
20,8.170747179461099,0.08299807927537642,2.7367135350070915,1.9385993391917724,3.2322645332338347
21,1.5173316454509462,0.03991387303033234,0.6950667809892974,0.2591702461657552,0.6278706364090828
22,14.653188987094214,0.08560951429408434,7.17756429085029,1.4134006863020658,5.832440869635163
23,9.377704623144458,0.154637320173965,3.3979635643427004,1.8648459672482356,3.69878786872734
24,8.592191856568428,0.09680271523795854,4.149167117491213,1.16715664243164,3.50132958293231
25,2.6849043528066274,0.07334112226509307,0.9244811039716936,0.6136632743657079,1.0740974633522806
26,1.9120001529186244,0.15162287714781733,0.4855808139960641,0.9244629463816343,0.868416697611035
27,64.25717023978906,0.13312056126838878,38.00076487390948,4.012166202226943,26.60080546929847
